PID,Name,Status,CPU%
Process ID: 0,Process Name: System Idle Process,Process Status: running,Process CPU Percent: 0.0
Process ID: 4,Process Name: System,Process Status: running,Process CPU Percent: 0.0
Process ID: 144,Process Name: Registry,Process Status: running,Process CPU Percent: 0.0
Process ID: 584,Process Name: smss.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 676,Process Name: services.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 916,Process Name: csrss.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 996,Process Name: wininit.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1088,Process Name: lsass.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1204,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1236,Process Name: fontdrvhost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1340,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1348,Process Name: WUDFHost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1384,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1416,Process Name: firefox.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1436,Process Name: WUDFHost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1476,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1508,Process Name: Move Mouse.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1520,Process Name: WUDFHost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1580,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1700,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1776,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1808,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1848,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1884,Process Name: svchost.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 1972,Process Name: msdtc.exe,Process Status: running,Process CPU Percent: 0.0
Process ID: 2000,Process Name: explorer.exe,Process Status: running,Process CPU Percent: 0.0
