"Router Name","Local IP","WAN IP","City","ISP Provider","Business Name"
"cincinnati-router","192.168.20.1","100.92.154.215","Cincinnati","Verizon Fios","Tranquil Minds Therapy"
"sandiego-router","192.168.76.1","100.0.46.190","San Diego","RCN","Safe Haven Support Services"
"nashville-router","192.168.67.1","100.88.196.191","Nashville","Mediacom","Pathways Recovery Services"
"lasvegas-router","192.168.61.1","100.109.89.50","Las Vegas","Cox Communications","Pathways Recovery Services"
"cincinnati-router-2","192.168.93.1","100.71.12.12","Cincinnati","Verizon Fios","Bridgeway Behavioral Health"
"portland-router","192.168.79.1","100.24.89.246","Portland","Frontier","Bridgeway Behavioral Health"
"chicago-router","192.168.55.1","100.62.19.149","Chicago","Frontier","Pathways Recovery Services"
"sandiego-router-2","192.168.69.1","100.244.53.234","San Diego","Cox Communications","Safe Haven Support Services"
"phoenix-router","192.168.56.1","100.63.2.56","Phoenix","Verizon Fios","Lifeline Health Solutions"
"sanjose-router","192.168.1.1","100.231.209.242","San Jose","RCN","Tranquil Minds Therapy"
"st.louis-router","192.168.4.1","100.3.54.107","St. Louis","Frontier","Pathways Recovery Services"
"columbus-router","192.168.36.1","100.136.76.19","Columbus","Windstream","Empower Health Group"
"chicago-router-2","192.168.49.1","100.209.2.108","Chicago","RCN","Empower Health Group"
"kansascity-router","192.168.33.1","100.224.139.203","Kansas City","Mediacom","Community Wellness Clinic"
"miami-router","192.168.39.1","100.238.248.51","Miami","Spectrum","New Horizons Counseling"
"lasvegas-router-2","192.168.91.1","100.198.18.185","Las Vegas","Mediacom","Empower Health Group"
"cleveland-router","192.168.30.1","100.108.225.98","Cleveland","Mediacom","Bridgeway Behavioral Health"
"charlotte-router","192.168.80.1","100.39.156.144","Charlotte","Windstream","Community Wellness Clinic"
"detroit-router","192.168.66.1","100.24.157.198","Detroit","RCN","Community Wellness Clinic"
"portland-router-2","192.168.17.1","100.68.102.26","Portland","CenturyLink","Empower Health Group"
"atlanta-router","192.168.100.1","100.97.110.100","Atlanta","Mediacom","Family Support Network"
"orlando-router","192.168.86.1","100.3.141.38","Orlando","Mediacom","Safe Haven Support Services"
"detroit-router-2","192.168.27.1","100.39.87.250","Detroit","RCN","Hope Behavioral Health Center"
"baltimore-router","192.168.63.1","100.117.211.104","Baltimore","Cox Communications","Family Support Network"
"denver-router","192.168.37.1","100.10.223.41","Denver","Comcast Business","Tranquil Minds Therapy"
"minneapolis-router","192.168.53.1","100.116.19.53","Minneapolis","Verizon Fios","New Horizons Counseling"
"dallas-router","192.168.74.1","100.157.180.216","Dallas","CenturyLink","Pathways Recovery Services"
"saltlakecity-router","192.168.13.1","100.39.117.146","Salt Lake City","RCN","Family Support Network"
"chicago-router-3","192.168.50.1","100.67.32.212","Chicago","Comcast Business","Family Support Network"
"miami-router-2","192.168.57.1","100.184.88.170","Miami","CenturyLink","Pathways Recovery Services"
"atlanta-router-2","192.168.45.1","100.21.200.50","Atlanta","Comcast Business","Family Support Network"
"lasvegas-router-3","192.168.16.1","100.145.27.75","Las Vegas","Frontier","Bridgeway Behavioral Health"
"baltimore-router-2","192.168.8.1","100.76.189.118","Baltimore","AT&T Fiber","Tranquil Minds Therapy"
"columbus-router-2","192.168.98.1","100.246.190.88","Columbus","Spectrum","Community Wellness Clinic"
"pittsburgh-router","192.168.41.1","100.176.4.223","Pittsburgh","Cox Communications","Pathways Recovery Services"
"denver-router-2","192.168.68.1","100.149.219.18","Denver","Windstream","Tranquil Minds Therapy"
"saltlakecity-router-2","192.168.97.1","100.62.205.183","Salt Lake City","Windstream","New Horizons Counseling"
"orlando-router-2","192.168.81.1","100.50.253.33","Orlando","Verizon Fios","Bridgeway Behavioral Health"
"columbus-router-3","192.168.32.1","100.87.223.104","Columbus","Comcast Business","Safe Haven Support Services"
"kansascity-router-2","192.168.92.1","100.83.220.218","Kansas City","Windstream","Empower Health Group"
"pittsburgh-router-2","192.168.22.1","100.253.203.71","Pittsburgh","Spectrum","Safe Haven Support Services"
"detroit-router-3","192.168.21.1","100.147.235.178","Detroit","Windstream","Bridgeway Behavioral Health"
